Date,HomeTeam,AwayTeam,BetOn,BetTeam,ModelProb,ImpProb,Edge,Odds,Stake,Won,PnL,Bankroll,Strategy,OddsBucket
2002-08-24,Sunderland,Everton,A,Everton,0.4612131726560005,0.4392506406247623,0.021962532031238158,2.2766045339801058,148.85993092135794,1,190.0352627421709,7791.445772429,kelly,2.00–2.99
2002-08-27,Arsenal,West Brom,H,Arsenal,0.5549503522475736,0.5285241449976892,0.026426207249884426,1.8920611469971202,218.3551485976263,1,194.78614431072515,7986.2319167397245,kelly,1.50–1.99
2002-08-27,Charlton,Tottenham,H,Charlton,0.5314925703222207,0.5061834003068769,0.02530917001534383,1.9755685377942929,204.65583932206766,0,-204.65583932206766,7781.576077417657,kelly,1.50–1.99
2002-08-27,Charlton,Tottenham,A,Tottenham,0.4685074270155033,0.4461975495385745,0.022309877476928808,2.2411597756064063,156.74001507210812,1,194.53940193544247,7976.1154793530995,kelly,2.00–2.99
2002-08-28,Aston Villa,Man City,H,Aston Villa,0.5269633441901789,0.5018698516096941,0.025093492580484766,1.9925484601089434,200.89990060731236,1,199.40288698382767,8175.518366336927,kelly,1.50–1.99
2002-08-28,Aston Villa,Man City,A,Man City,0.4730366531012596,0.4505110981916758,0.0225255549095838,2.219701143909527,167.57216321310926,0,-167.57216321310926,8007.946203123818,kelly,2.00–2.99
2002-08-28,Blackburn,Liverpool,H,Blackburn,0.5299304935364239,0.5046957081299275,0.025234785406496374,1.981391923670892,203.99460220668365,0,-203.99460220668365,7803.951600917135,kelly,1.50–1.99
2002-08-28,Blackburn,Liverpool,A,Liverpool,0.4700695037471105,0.44768524166391466,0.022384262083195827,2.2337122311275963,158.1396253521875,0,-158.1396253521875,7645.811975564948,kelly,2.00–2.99
2002-08-28,Everton,Birmingham,H,Everton,0.5546372641733299,0.5282259658793619,0.026411298293968044,1.8931291996129997,214.0175234131285,0,-214.0175234131285,7431.794452151819,kelly,1.50–1.99
2002-08-28,Leeds,Sunderland,H,Leeds,0.5559235033654443,0.5294509555861374,0.026472547779306854,1.8887490700492429,209.05210206689873,0,-209.05210206689873,7222.742350084921,kelly,1.50–1.99
2002-08-28,Southampton,Chelsea,H,Southampton,0.524364412269195,0.4993946783516143,0.024969733917580672,2.0024242214610046,180.1318791847923,0,-180.1318791847923,7042.610470900128,kelly,2.00–2.99
2002-08-28,Southampton,Chelsea,A,Chelsea,0.4756355850608347,0.4529862714865093,0.022649313574325425,2.2075724209442886,145.80099604694942,0,-145.80099604694942,6896.8094748531785,kelly,2.00–2.99
2002-08-31,West Ham,Charlton,H,West Ham,0.5357784605581097,0.510265200531533,0.025513260026576723,1.9597652337614244,179.64834608104726,0,-179.64834608104726,6717.161128772132,kelly,1.50–1.99
2002-08-31,West Ham,Charlton,A,Charlton,0.4642215367907839,0.44211574932455605,0.022105787466227822,2.261851113713442,133.08149146464123,1,167.92902821930343,6885.090156991435,kelly,2.00–2.99
2002-08-31,West Brom,Fulham,H,West Brom,0.512118034698905,0.48773146161800485,0.024386573080900198,2.0503085789926097,163.8825554389737,1,172.12725392478603,7057.217410916221,kelly,2.00–2.99
2002-08-31,West Brom,Fulham,A,Fulham,0.4878819626748485,0.4646494882617605,0.02323247441308801,2.1521599081943883,153.13016363275415,0,-153.13016363275415,6904.087247283466,kelly,2.00–2.99
2002-08-31,Birmingham,Leeds,H,Birmingham,0.5198892687543993,0.49513263690895176,0.024756631845447574,2.0196608453097924,169.27410910796223,1,172.6021811820868,7076.689428465553,kelly,2.00–2.99
2002-08-31,Birmingham,Leeds,A,Leeds,0.480110728552368,0.4572483129070172,0.022862415645350853,2.1869954940727205,149.04625720575774,0,-149.04625720575774,6927.643171259795,kelly,2.00–2.99
2002-08-31,Tottenham,Southampton,H,Tottenham,0.5564658057617663,0.5299674340588251,0.026498371702941226,1.8869083942410743,195.27504802758608,1,173.19107928149504,7100.83425054129,kelly,1.50–1.99
2002-08-31,Sunderland,Man United,H,Sunderland,0.5324899830954943,0.5071333172338042,0.025356665861690164,1.971868078899989,182.6594165583253,0,-182.6594165583253,6918.174833982965,kelly,1.50–1.99
2002-08-31,Sunderland,Man United,A,Man United,0.4675100141875987,0.4452476325596178,0.022262381627980887,2.245941195130559,138.81423258619427,0,-138.81423258619427,6779.36060139677,kelly,2.00–2.99
2002-08-31,Man City,Everton,H,Man City,0.5262649763178189,0.5012047393503036,0.025060236967515248,1.995192625864371,170.3027239452409,1,169.4840150349194,6948.844616431689,kelly,1.50–1.99
2002-08-31,Man City,Everton,A,Everton,0.4737350209833484,0.4511762104603318,0.022558810523016615,2.216428918048909,142.8123853627488,0,-142.8123853627488,6806.032231068941,kelly,2.00–2.99
2002-08-31,Middlesbrough,Blackburn,H,Middlesbrough,0.532253762696441,0.5069083454251818,0.025345417271259163,1.972743216845691,174.9185220005653,1,170.15080577672367,6976.183036845664,kelly,1.50–1.99
2002-08-31,Middlesbrough,Blackburn,A,Blackburn,0.4677462346004908,0.4454726043814197,0.022273630219071083,2.2448069537039057,140.10572113387073,0,-140.10572113387073,6836.077315711793,kelly,2.00–2.99
2002-09-01,Bolton,Aston Villa,H,Bolton,0.5302764565439021,0.5050251967084782,0.025251259835423867,1.9800992237962378,174.3720724834748,1,170.90193289279497,7006.979248604588,kelly,1.50–1.99
2002-09-01,Bolton,Aston Villa,A,Aston Villa,0.4697235407653894,0.4473557531098946,0.022367787655494797,2.235357415319405,141.80064736149498,0,-141.80064736149498,6865.178601243093,kelly,2.00–2.99
2002-09-01,Chelsea,Arsenal,H,Chelsea,0.5312767367785645,0.5059778445510137,0.025298892227550773,1.976371121323234,175.78302070064854,0,-175.78302070064854,6689.395580542445,kelly,1.50–1.99
2002-09-01,Chelsea,Arsenal,A,Arsenal,0.4687232606013242,0.4464031053345944,0.022320155266729813,2.240127785962568,134.85294935453516,0,-134.85294935453516,6554.54263118791,kelly,2.00–2.99
2002-09-02,Liverpool,Newcastle,H,Liverpool,0.548422351509425,0.5223070014375476,0.026115350071877375,1.9145827975648346,179.16755729060347,0,-179.16755729060347,6375.375073897307,kelly,1.50–1.99
2002-09-02,Liverpool,Newcastle,A,Newcastle,0.4515776458140192,0.4300739483943039,0.021503697419715306,2.3251815268828415,120.2736180773252,0,-120.2736180773252,6255.101455819981,kelly,2.00–2.99
2002-09-03,Man United,Middlesbrough,H,Man United,0.5385222204539024,0.5128783051941928,0.02564391525970966,1.949780269261666,164.6460149325522,1,156.37753639549967,6411.478992215481,kelly,1.50–1.99
2002-09-03,Man United,Middlesbrough,A,Middlesbrough,0.4614777768488294,0.4395026446179327,0.0219751322308967,2.2752991642844775,125.68578361401042,0,-125.68578361401042,6285.793208601471,kelly,2.00–2.99
2002-09-10,Arsenal,Man City,H,Arsenal,0.5502626109009596,0.5240596294294854,0.026202981471474263,1.908179802150844,173.03272968950697,1,157.1448302150369,6442.938038816507,kelly,1.50–1.99
2002-09-10,Middlesbrough,Sunderland,H,Middlesbrough,0.5367952111341839,0.5112335344135085,0.02556167672067544,1.956053217727997,168.4774947499201,1,161.07345097041284,6604.01148978692,kelly,1.50–1.99
2002-09-10,Middlesbrough,Sunderland,A,Sunderland,0.4632047861256257,0.4411474153577387,0.022057370767886997,2.266815955816203,130.3269717172925,0,-130.3269717172925,6473.684518069627,kelly,2.00–2.99
2002-09-11,Man United,Bolton,H,Man United,0.5561102907444807,0.5296288483280769,0.026481442416403822,1.8881146734298606,182.2310989713902,0,-182.2310989713902,6291.453419098237,kelly,1.50–1.99
2002-09-11,Southampton,Everton,H,Southampton,0.5262722232839417,0.5012116412228016,0.025060582061140146,1.9951651513127444,158.05048566057218,1,157.28633547745605,6448.739754575693,kelly,1.50–1.99
2002-09-11,Southampton,Everton,A,Everton,0.4737277740357247,0.45116930860545207,0.022558465430272623,2.2164628243241182,132.5305555095508,0,-132.5305555095508,6316.209199066142,kelly,2.00–2.99
2002-09-11,Newcastle,Leeds,H,Newcastle,0.5388789342703441,0.5132180326384229,0.02566090163192114,1.9484896016982498,166.48071807421803,0,-166.48071807421803,6149.728480991924,kelly,1.50–1.99
2002-09-11,Newcastle,Leeds,A,Leeds,0.4611210630708988,0.4391629172103798,0.021958145860518974,2.2770592889584815,120.38846853397415,1,153.74321202479754,6303.4716930167215,kelly,2.00–2.99
2002-09-11,West Ham,West Brom,H,West Ham,0.5344799515376936,0.5090285252739939,0.025451426263699672,1.9645264466499825,163.38255200026146,0,-163.38255200026146,6140.08914101646,kelly,1.50–1.99
