Date,Bankroll,Strategy
2018-12-15,-17815.030681438708,flat
2018-12-15,-17688.686847383255,flat
2018-12-15,-17788.686847383255,flat
2018-12-15,-17688.652339185584,flat
2018-12-15,-17788.652339185584,flat
2018-12-15,-17888.652339185584,flat
2018-12-15,-17776.917276825356,flat
2018-12-15,-17692.284920522863,flat
2018-12-15,-17645.50191123235,flat
2018-12-15,-17592.84968617498,flat
2018-12-16,-17510.780352388774,flat
2018-12-16,-17610.780352388774,flat
2018-12-16,-17532.36015005064,flat
2018-12-21,-17461.507810194373,flat
2018-12-22,-17561.507810194373,flat
2018-12-22,-17661.507810194373,flat
2018-12-22,-17761.507810194373,flat
2018-12-22,-17861.507810194373,flat
2018-12-22,-17753.33007622453,flat
2018-12-22,-17697.409223427432,flat
2018-12-22,-17624.992246727063,flat
2018-12-22,-17526.869580838946,flat
2018-12-22,-17626.869580838946,flat
2018-12-22,-17726.869580838946,flat
2018-12-23,-17649.830290866637,flat
2018-12-26,-17603.686343893827,flat
2018-12-26,-17551.747356685846,flat
2018-12-26,-17506.393877237122,flat
2018-12-26,-17606.393877237122,flat
2018-12-26,-17528.749072370112,flat
2018-12-26,-17628.749072370112,flat
2018-12-26,-17728.749072370112,flat
2018-12-26,-17828.749072370112,flat
2018-12-26,-17717.449712475955,flat
2018-12-26,-17817.449712475955,flat
2018-12-26,-17917.449712475955,flat
2018-12-26,-18017.449712475955,flat
2018-12-27,-18117.449712475955,flat
2018-12-27,-18001.712821860157,flat
2018-12-29,-17893.492939935648,flat
2018-12-29,-17993.492939935648,flat
2018-12-29,-17908.020007925985,flat
2018-12-29,-18008.020007925985,flat
2018-12-29,-17932.135934291302,flat
2018-12-29,-18032.135934291302,flat
2018-12-29,-18132.135934291302,flat
2018-12-29,-18232.135934291302,flat
2018-12-30,-18119.11034504052,flat
2018-12-30,-18219.11034504052,flat
2018-12-30,-18143.54078594088,flat
2018-12-30,-18089.98364175466,flat
2018-12-30,-18034.2425547769,flat
2019-01-01,-17965.617513032124,flat
2019-01-01,-17912.80629816803,flat
2019-01-01,-18012.80629816803,flat
2019-01-01,-17900.468332925902,flat
2019-01-02,-18000.468332925902,flat
2019-01-02,-18100.468332925902,flat
2019-01-02,-18200.468332925902,flat
2019-01-02,-18300.468332925902,flat
2019-01-02,-18197.23996911583,flat
2019-01-02,-18129.082241111806,flat
2019-01-02,-18229.082241111806,flat
2019-01-02,-18329.082241111806,flat
2019-01-03,-18237.957373323723,flat
2019-01-03,-18337.957373323723,flat
2019-01-12,-18282.896854517658,flat
2019-01-12,-18382.896854517658,flat
2019-01-12,-18253.457350354674,flat
2019-01-12,-18353.457350354674,flat
2019-01-12,-18292.063339481596,flat
2019-01-12,-18205.191368219745,flat
2019-01-12,-18305.191368219745,flat
2019-01-12,-18405.191368219745,flat
2019-01-13,-18505.191368219745,flat
2019-01-13,-18374.361813840635,flat
2019-01-13,-18289.00765842545,flat
2019-01-14,-18240.670769096414,flat
2019-01-19,-18142.475331206308,flat
2019-01-19,-18242.475331206308,flat
2019-01-19,-18131.37212831078,flat
2019-01-19,-18231.37212831078,flat
2019-01-19,-18186.09607820084,flat
2019-01-19,-18133.67771811647,flat
2019-01-19,-18035.09715032875,flat
2019-01-19,-18135.09715032875,flat
2019-01-19,-18029.065207093612,flat
